Coupon	YTM	CurrentYield	RatingNum
5.6500	4.0240	4.5634	9
6.2000	3.8030	5.0559	11
1.6400	1.5540	1.6116	11
10.2700	10.1930	25.3518	5
5.8300	4.4790	5.1488	8
6.4200	3.6750	4.7328	9
6.7800	5.7730	6.4308	7
6.5400	4.2420	5.7652	8
3.3600	2.8020	3.2064	10
7.2000	6.8750	7.1635	7
4.7100	3.9860	5.1753	9
1.5100	1.3540	1.4594	9
6.0800	3.9310	5.3315	10
5.5200	3.8480	5.1584	9
8.3300	4.7870	7.4515	8
5.0500	3.6770	4.6178	8
5.7000	4.0610	5.1931	9
5.8400	3.9260	5.2817	9
5.6900	3.8860	4.5906	11
5.5300	4.0760	5.3425	9
7.2300	9.5600	16.0133	5
6.3700	4.9480	6.2592	7
8.8500	5.0970	6.0159	10
2.9600	2.4270	2.7627	9
6.1100	3.8080	5.0164	8
4.7200	4.6300	5.0552	9
3.3700	3.0470	3.2473	11
4	2.9370	3.4837	10
9.4600	5.0490	8.1432	7
6.2000	5.3290	6.8252	9
9.0400	8.9810	9.3138	6
5.8300	3.8930	5.3927	9
8.9200	5.2060	7.4551	9
4.4600	2.4800	4.0593	11
4.0100	3.6670	4.1858	9
5.1400	3.3790	4.1239	11
6.4100	3.6740	4.6683	9
7.5500	4.0870	5.1954	8
10.6900	8.8510	13.1327	6
4.5900	3.6080	3.9077	11
0.8800	0.8410	0.8623	11
4.6600	3.4510	4.0884	8
3.5900	2.9270	3.4642	8
3.1100	2.5450	2.8350	10
7.2200	4.7930	7.4564	6
6.3700	4.6970	7.0363	9
5.2700	3.7970	5.0537	10
4.4400	3.8030	4.1039	8
7.0800	4.3180	6.1856	9
5.9300	5.4430	5.7719	8
7.7000	6.1640	8.1027	8
1.3200	1.2730	1.2858	11
2.2000	1.9730	2.1099	8
12.4000	9.8250	12.0423	6
6.3700	4.2530	5.6392	10
6.0600	3.5030	4.4542	11
2	1.7430	1.8847	11
5.4400	3.5970	4.4386	9
6.9600	4.3780	6.3307	8
6.8000	4.4450	6.2771	9
4.9700	3.2130	3.9608	11
6	3.7080	4.7805	8
5.1400	3.6800	4.1505	11
5.7100	4.2820	5.5089	9
3.9400	3.1240	3.6833	9
5.4600	3.5540	4.5565	10
4.2800	3.6330	4.0573	11
8.2600	4.8770	7.6545	7
5.3000	3.3590	4.1207	11
7.8700	4.7200	5.9852	8
5.6000	4.4240	4.9880	8
6.4600	4.3750	6.0346	9
5.9500	4.6870	6.9420	8
6.3000	4.2760	5.9954	7
6.0600	4.1600	5.6966	10
1.9500	1.8300	1.9313	9
5.5800	3.8170	4.4852	8
1.0200	0.9740	1.0061	11
7.4100	6.6810	8.1295	5
7.8100	4.9370	7.8603	7
6.6100	5.2800	5.7916	9
6.4600	5.9420	6.5798	7
7.7100	6.0350	7.6762	5
0.9600	0.9220	0.9342	11
2.9900	2.4580	2.7547	11
5.3200	3.6390	4.8500	10
7.2200	4.0480	5.5564	9
3.1000	2.8090	2.8545	10
7.9200	4.3610	5.9175	8
6.8700	5.0170	5.8578	9
7.1200	4.1420	5.4715	9
4.7300	3.2900	4.0839	9
6.8300	4.0730	5.0581	9
3.9900	3.3100	4.0254	9
6.4000	4.8620	5.8203	8
7.7200	5.9140	10.6292	5
7.7300	6.7920	7.5246	9
5.8100	4.9190	5.6905	8
8.8300	5.5240	7.9614	6
8.0900	2.7850	7.4329	7
5.8200	4.2640	4.8480	9
8.4500	4.4200	5.4222	11
6.8300	4.6720	7.1317	6
5.2500	3.9390	4.9584	9
2.0400	1.8600	1.9928	9
6.0800	4.6210	5.5187	8
2.7400	2.4090	2.6530	9
3.2400	2.6480	3.0708	9
9.5900	5.6610	8.5510	7
5.3400	4.2830	5.9254	9
5.3800	4.4680	5.1726	8
5.5600	3.7050	4.6547	9
7.3600	4.4250	5.2839	9
9	5.2020	6.9109	8
5.5700	3.8810	5.2261	8
3.5900	3.1190	3.5011	8
1.3400	0.7280	1.2887	11
5.4600	4.1700	4.8542	9
5.8700	3.8500	5.1618	8
5.6800	4.4550	4.6969	10
10.4100	6.3040	9.1188	7
7.3900	4.7440	6.5947	8
5.5800	3.5240	3.9318	11
6.1600	4.1980	5.8717	10
6.6600	4.8270	7.0911	6
1.0900	1.0550	1.0626	11
6.7700	5.1000	7.0572	9
4.7000	1.7000	4.2821	11
3.9600	3.0790	3.6277	5
6.3300	4.7050	5.6322	8
10.4300	5.8230	9.5987	6
1.5300	1.4940	1.5031	11
4.5300	1.5110	4.1720	11
1.2300	1.1560	1.2033	11
5.9700	4.7720	7.0526	8
5.1100	4.0760	5.6179	9
3.8800	3.6370	3.8800	9
7.3400	5.4320	5.5860	9
