fixedacidity	volatileacidity	citricacid	residualsugar	chlorides	freesulfurdioxide	totalsulfurdioxide	density	pH	sulphates	alcohol	quality	Color
7.1000	0.2600	0.4900	2.2000	0.0320	31	113	0.9903	3.3700	0.4200	12.9000	92	White
9.1000	0.2700	0.4500	10.6000	0.0350	28	124	0.9970	3.2000	0.4600	10.4000	89	White
6.9000	0.3600	0.3400	4.2000	0.0180	57	119	0.9898	3.2800	0.3600	12.7000	88	White
7.4000	0.2400	0.3600	2	0.0310	27	139	0.9906	3.2800	0.4800	12.5000	86	White
5.6000	0.8500	0.0500	1.4000	0.0450	12	88	0.9924	3.5600	0.8200	12.9000	85	Red
9.4000	0.3000	0.5600	2.8000	0.0800	6	17	0.9964	3.1500	0.9200	11.7000	85	Red
6.7000	0.2300	0.3100	2.1000	0.0460	30	96	0.9926	3.3300	0.6400	10.7000	85	White
7	0.2300	0.3600	7.1000	0.0280	31	104	0.9922	3.3500	0.4700	12.1000	85	White
6.6000	0.3600	0.2900	1.6000	0.0210	24	85	0.9897	3.4100	0.6100	12.4000	85	White
6.8000	0.1900	0.3200	7.0500	0.0190	54	188	0.9935	3.2500	0.3700	11.1000	85	White
5.2000	0.1550	0.3300	1.6000	0.0280	13	59	0.9898	3.3000	0.8400	11.9000	85	White
7	0.1200	0.2900	10.3000	0.0390	41	98	0.9956	3.1900	0.3800	9.8000	85	White
6.6000	0.1600	0.3600	1.1000	0.0310	27	93	0.9888	3.2300	0.3400	13.2000	85	White
5.7000	0.1500	0.4700	11.4000	0.0350	49	128	0.9946	3.0300	0.3400	10.5000	85	White
5.4000	0.5300	0.1600	2.7000	0.0360	34	128	0.9886	3.2000	0.5300	13.2000	85	White
6.3000	0.1700	0.3200	1	0.0400	39	118	0.9889	3.3100	0.4000	13.1000	85	White
6.4000	0.3200	0.2500	5	0.0550	28	138	0.9917	3.2700	0.5000	12.4000	85	White
7	0.2400	0.3600	2.8000	0.0340	22	112	0.9900	3.1900	0.3800	12.6000	84	White
7.1000	0.3200	0.3400	14.5000	0.0390	46	150	0.9950	3.3800	0.5000	12.5000	84	White
7	0.1500	0.3800	2.2000	0.0470	33	96	0.9928	3.1300	0.3900	10.4000	84	White
7.8000	0.2900	0.3600	7	0.0420	38	161	0.9941	3.2600	0.3700	11.2000	84	White
6.8000	0.3700	0.2800	1.9000	0.0240	64	106	0.9899	3.4500	0.6000	12.6000	84	White
7	0.2800	0.2600	1.7000	0.0420	34	130	0.9925	3.4300	0.5000	10.7000	84	White
4.9000	0.3300	0.3100	1.2000	0.0160	39	150	0.9871	3.3300	0.5900	14	84	White
