'wMotor_mean'	'wMotor_std'	'wMotor_fftPeakIdx'	'wMotor_skewness'	'wMotor_kurtosis'	'wMotor_peak2peak'	'wMotor_peak2rms'	'wMotor_rms'	'wMotor_mad'	'wMotor_csRange'	'wMotor_pLow'	'wMotor_pMid'	'wMotor_pHigh'	'wMotor_pKur'	'iMotor_mean'	'iMotor_std'	'iMotor_fftPeakIdx'	'iMotor_skewness'	'iMotor_kurtosis'	'iMotor_peak2peak'	'iMotor_peak2rms'	'iMotor_rms'	'iMotor_mad'	'iMotor_csRange'	'iMotor_pLow'	'iMotor_pMid'	'iMotor_pHigh'	'iMotor_pKur'	'qIn_mean'	'qIn_std'	'qIn_fftPeakIdx'	'qIn_skewness'	'qIn_kurtosis'	'qIn_peak2peak'	'qIn_peak2rms'	'qIn_rms'	'qIn_mad'	'qIn_csRange'	'qIn_pLow'	'qIn_pMid'	'qIn_pHigh'	'qIn_pKur'	'pIn_mean'	'pIn_std'	'pIn_fftPeakIdx'	'pIn_skewness'	'pIn_kurtosis'	'pIn_peak2peak'	'pIn_peak2rms'	'pIn_rms'	'pIn_mad'	'pIn_csRange'	'pIn_pLow'	'pIn_pMid'	'pIn_pHigh'	'pIn_pKur'	'qOut_mean'	'qOut_std'	'qOut_fftPeakIdx'	'qOut_skewness'	'qOut_kurtosis'	'qOut_peak2peak'	'qOut_peak2rms'	'qOut_rms'	'qOut_mad'	'qOut_csRange'	'qOut_pLow'	'qOut_pMid'	'qOut_pHigh'	'qOut_pKur'	'pOut_mean'	'pOut_std'	'pOut_fftPeakIdx'	'pOut_skewness'	'pOut_kurtosis'	'pOut_peak2peak'	'pOut_peak2rms'	'pOut_rms'	'pOut_mad'	'pOut_csRange'	'pOut_pLow'	'pOut_pMid'	'pOut_pHigh'	'pOut_pKur'	'faultCode'
876.2357	6.2048	762	-0.1646	2.8811	39.0707	1.0183	876.2576	5.0321	1.2259e+06	7.0673	664.0570	86.9242	0.0718	38.2322	0.2491	762	-0.1721	2.6307	1.3696	1.0148	38.2330	0.2064	5.3487e+04	0.0116	1.0658	0.0993	0.0718	35.5075	4.1801	742	1.4468	5.7365	23.3050	1.4412	35.7525	2.7865	4.9676e+04	72.1807	169.6845	37.5906	1.5887	-0.1482	0.0182	742	-0.8368	4.4503	0.1213	1.5085	0.1493	0.0135	207.3434	0.0013	0.0025	0.0010	1.3778	35.5317	2.7453	762	-0.7292	2.7665	13.8347	1.1507	35.6375	2.2371	4.9707e+04	1.3069	101.8638	17.3025	2.6704	7.2260	0.0233	824	-0.5884	2.7312	0.1255	1.0076	7.2260	0.0190	1.0109e+04	9.0974e-05	0.0075	0.0013	0.0763	000
876.2382	6.0775	762	-0.1471	2.6737	34.5708	1.0170	876.2593	4.9826	1.2259e+06	9.6718	542.4687	98.8069	0.0718	38.2257	0.2551	762	-0.1448	2.5389	1.3928	1.0150	38.2265	0.2119	5.3478e+04	0.0079	1.2946	0.0993	2.2081	35.5360	4.2102	742	1.4632	5.8136	23.9357	1.4453	35.7843	2.8000	4.9714e+04	76.3006	185.0782	40.7934	1.5035	-0.1486	0.0187	742	-0.8792	4.4500	0.1180	1.4850	0.1498	0.0139	207.8733	0.0015	0.0032	0.0012	2.8992	35.5602	2.7389	762	-0.6869	2.6888	14.7893	1.1622	35.6654	2.2500	4.9746e+04	0.6379	97.3777	15.8582	2.7332	7.2256	0.0233	762	-0.6263	2.7191	0.1209	1.0071	7.2256	0.0190	1.0109e+04	1.1806e-04	0.0070	0.0014	0.0763	000
876.0312	6.2509	762	-0.1235	2.5514	35.4915	1.0173	876.0534	5.1659	1.2256e+06	6.6879	705.1499	98.9380	2.2081	38.2309	0.2546	762	-0.1466	2.6521	1.6117	1.0162	38.2318	0.2094	5.3485e+04	0.0056	1.2605	0.0974	0.0718	35.5368	4.1793	742	1.4647	5.7737	23.4139	1.4300	35.7815	2.7704	4.9715e+04	68.8558	171.3909	40.8560	1.1624	-0.1483	0.0183	742	-0.7446	4.3658	0.1203	1.4522	0.1494	0.0136	207.4879	0.0012	0.0029	0.0010	2.7332	35.5610	2.7147	762	-0.6921	2.7228	13.9793	1.1666	35.6644	2.2191	4.9747e+04	0.6298	104.2218	16.6907	0.0673	7.2259	0.0233	762	-0.5838	2.6591	0.1312	1.0075	7.2259	0.0190	1.0109e+04	6.0407e-05	0.0066	0.0013	0.0763	000
876.1967	6.2475	762	-0.1346	2.7289	41.5295	1.0189	876.2189	5.0936	1.2258e+06	5.3914	680.7507	96.9921	0.0718	38.2310	0.2499	762	-0.1666	2.6492	1.4120	1.0151	38.2318	0.2052	5.3486e+04	0.0044	1.2501	0.0983	0.0718	35.4713	4.2393	742	1.5033	5.8518	23.5517	1.4403	35.7236	2.8309	4.9624e+04	73.5836	195.0454	43.4693	2.0735	-0.1483	0.0186	742	-0.7641	4.4106	0.1260	1.4939	0.1495	0.0137	207.4777	0.0015	0.0033	0.0012	1.4900	35.4955	2.7545	824	-0.7022	2.7314	13.8712	1.1471	35.6021	2.2589	4.9656e+04	0.5613	112.9764	18.7476	0.3635	7.2259	0.0230	762	-0.5963	2.7234	0.1233	1.0078	7.2259	0.0187	1.0109e+04	6.5944e-05	0.0072	0.0014	0.0763	000
876.1997	6.0953	762	-0.1393	2.7053	36.0967	1.0181	876.2209	4.9627	1.2258e+06	3.7450	674.7802	98.1862	0.0718	38.2290	0.2523	762	-0.1568	2.6435	1.4683	1.0157	38.2299	0.2076	5.3483e+04	0.0101	1.1960	0.0945	0.0718	35.5236	4.1797	742	1.4093	5.6090	22.5018	1.4154	35.7685	2.8047	4.9695e+04	80.2852	189.8898	42.2457	1.1534	-0.1490	0.0180	742	-0.7328	4.1092	0.1089	1.4362	0.1500	0.0135	208.3863	0.0014	0.0022	0.0011	0.0583	35.5478	2.7232	640	-0.7514	2.8558	14.3452	1.1522	35.6519	2.2205	4.9727e+04	0.6966	103.2285	19.0245	2.9172	7.2252	0.0234	824	-0.6007	2.7071	0.1238	1.0067	7.2253	0.0191	1.0108e+04	5.1202e-05	0.0078	0.0016	0.0718	000
876.1376	6.1633	762	-0.1416	2.7259	37.5214	1.0181	876.1593	5.0248	1.2257e+06	8.3864	633.2175	94.3620	0.0718	38.2291	0.2539	762	-0.1518	2.7789	1.5087	1.0157	38.2299	0.2069	5.3483e+04	0.0057	1.1849	0.0784	0.0718	35.5246	4.1604	742	1.4559	5.8108	23.3509	1.4344	35.7672	2.7716	4.9699e+04	76.9240	185.4409	43.7903	1.6740	-0.1484	0.0187	742	-0.8527	4.4448	0.1367	1.5222	0.1496	0.0139	207.6789	0.0011	0.0025	0.0011	1.8625	35.5488	2.7282	762	-0.7532	2.8301	13.3445	1.1384	35.6533	2.2294	4.9731e+04	0.2817	96.0985	18.5395	1.6785	7.2257	0.0231	762	-0.6605	2.8388	0.1273	1.0074	7.2258	0.0187	1.0109e+04	6.3084e-05	0.0070	0.0016	0.0763	000
876.1380	6.2095	762	-0.1262	2.8589	38.1647	1.0181	876.1600	5.0118	1.2257e+06	4.9330	628.3039	78.7597	0.0718	38.2328	0.2594	762	-0.1360	2.7792	1.6171	1.0191	38.2337	0.2106	5.3488e+04	0.0031	1.2034	0.1123	0.0763	35.5050	4.2406	742	1.4711	5.8196	25.1289	1.4524	35.7571	2.8199	4.9672e+04	70.4137	183.5648	35.1020	0.9604	-0.1484	0.0187	742	-0.8528	4.3893	0.1238	1.4906	0.1496	0.0138	207.6373	0.0012	0.0028	0.0011	2.0106	35.5292	2.7592	762	-0.7451	2.8127	14.7430	1.1548	35.6361	2.2541	4.9703e+04	0.4610	106.3270	18.7239	2.1812	7.2258	0.0231	762	-0.6631	2.8156	0.1167	1.0064	7.2258	0.0188	1.0109e+04	3.7213e-05	0.0065	0.0015	0.0763	000
876.2565	6.3897	762	-0.0820	2.8843	41.8263	1.0228	876.2797	5.1249	1.2259e+06	2.9202	638.8667	111.3067	0.0718	38.2321	0.2498	762	-0.1645	2.7345	1.4697	1.0168	38.2329	0.2048	5.3487e+04	0.0077	1.1114	0.0798	0.0718	35.5051	4.1463	742	1.4245	5.6308	22.5311	1.4195	35.7462	2.8000	4.9672e+04	76.1177	183.7380	36.6995	2.8768	-0.1486	0.0179	742	-0.7916	4.1488	0.1125	1.4465	0.1497	0.0133	207.9153	0.0015	0.0026	0.0013	0.9694	35.5293	2.7356	578	-0.7105	2.7371	13.5223	1.1502	35.6344	2.2264	4.9704e+04	0.5060	107.1786	17.7962	2.1497	7.2256	0.0235	762	-0.6589	2.8048	0.1322	1.0072	7.2256	0.0191	1.0109e+04	5.4639e-05	0.0073	0.0016	0.0763	000
876.2342	6.1012	762	-0.1364	2.8344	37.1532	1.0195	876.2555	4.9556	1.2259e+06	6.5386	574.6087	79.6230	0.0718	38.2364	0.2529	762	-0.1351	2.6522	1.6279	1.0183	38.2373	0.2097	5.3493e+04	0.0113	1.2279	0.0909	0.0718	35.5426	4.2535	660	1.4860	5.8543	24.8454	1.4737	35.7960	2.8422	4.9723e+04	79.8381	182.5342	42.1554	1.8311	-0.1486	0.0187	742	-0.9116	4.4678	0.1154	1.4464	0.1498	0.0137	207.9075	0.0012	0.0028	0.0011	2.8723	35.5667	2.7665	824	-0.7168	2.7834	13.8214	1.1713	35.6741	2.2506	4.9755e+04	0.3348	103.8684	17.2439	2.5761	7.2256	0.0233	824	-0.6088	2.7045	0.1174	1.0069	7.2256	0.0189	1.0109e+04	4.5612e-05	0.0074	0.0015	0.0763	000
876.3714	6.1812	762	-0.0960	2.7291	42.7099	1.0219	876.3932	5.0910	1.2261e+06	9.4206	659.1154	91.2444	0.0718	38.2271	0.2522	762	-0.0951	2.6918	1.3992	1.0165	38.2280	0.2068	5.3480e+04	0.0101	1.2227	0.0742	0.0718	35.5355	4.1902	742	1.4537	5.7549	23.0709	1.4222	35.7815	2.7962	4.9715e+04	73.5208	166.0807	36.5836	1.9792	-0.1482	0.0181	742	-0.7196	4.1988	0.1252	1.4575	0.1493	0.0135	207.3967	0.0011	0.0027	0.0013	2.5761	35.5597	2.7796	762	-0.7070	2.6416	13.3352	1.1455	35.6681	2.2965	4.9746e+04	0.4412	100.9815	16.8202	1.9882	7.2259	0.0235	762	-0.6266	2.7555	0.1246	1.0080	7.2260	0.0190	1.0109e+04	3.7072e-05	0.0071	0.0014	0.0763	000
