playerID,GP,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,note,year
beendha01,58,0,713,0,0,0,37,0,0,0,196,1016,266,257,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1946
jorgeno01,15,0,66,0,0,0,4,0,0,0,40,112,25,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1946
mogusle01,17,0,209,0,0,0,28,0,0,0,50,226,73,88,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1946
mogusle01,41,0,544,0,0,0,56,0,0,0,126,653,186,237,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1946
rouxgi01,60,0,354,0,0,0,17,0,0,0,95,478,142,160,70,0,0,3,0,0,22,0,0,0,0,0,0,0,6,29,11,2,0,0,0,,1946
beendha01,21,0,143,0,0,0,6,0,0,0,68,200,53,58,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1947
beendha01,24,0,60,0,0,0,7,0,0,0,31,69,23,24,14,0,0,12,0,0,23,0,0,0,4,0,0,0,15,35,8,13,7,0,0,,1947
rouxgi01,46,0,176,0,0,0,12,0,0,0,60,258,68,68,40,0,0,5,0,0,7,0,0,0,0,0,0,0,3,24,2,7,3,0,0,,1947
toomaja01,19,0,29,0,0,0,2,0,0,0,22,47,9,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1947
toomaja01,14,0,153,0,0,0,5,0,0,0,49,144,52,71,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1947
beendha01,8,0,19,0,0,0,3,0,0,0,9,28,6,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1948
budkowa01,60,0,692,0,0,0,99,0,0,0,201,644,224,309,244,0,0,3,0,0,37,0,0,0,4,0,0,0,16,26,11,19,15,0,0,,1948
currafr01,57,0,207,0,0,0,78,0,0,0,118,168,61,126,85,0,0,4,0,0,4,0,0,0,3,0,0,0,3,5,1,2,2,0,0,,1948
maddoja01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1948
mogusle01,13,0,45,0,0,0,3,0,0,0,29,50,10,36,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1948
mogusle01,20,0,173,0,0,0,27,0,0,0,66,176,59,74,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1948
mogusle01,19,0,303,0,0,0,74,0,0,0,75,283,103,133,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1948
pollaji01,53,0,784,0,0,0,142,0,0,0,144,792,314,227,156,0,0,10,0,0,130,0,0,0,39,0,0,0,31,147,43,62,44,0,0,,1948
rouxgi01,19,0,37,0,0,0,11,0,0,0,12,44,11,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1948
rouxgi01,26,0,50,0,0,0,9,0,0,0,18,74,18,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1948
spearod01,57,0,531,0,0,0,97,0,0,0,200,631,200,197,131,0,0,2,0,0,18,0,0,0,2,0,0,0,9,26,7,7,4,0,0,,1948
toomaja01,13,0,25,0,0,0,1,0,0,0,16,21,8,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1948
toomaja01,23,0,75,0,0,0,11,0,0,0,49,63,24,41,27,0,0,1,0,0,7,0,0,0,0,0,0,0,6,5,1,7,5,0,0,,1948
zunicma01,56,0,273,0,0,0,50,0,0,0,182,323,98,109,77,0,0,9,0,0,26,0,0,0,6,0,0,0,26,39,7,19,12,0,0,,1948
budkowa01,66,0,595,0,0,0,146,0,0,0,259,652,198,263,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1949
cervial01,56,0,573,0,0,0,264,0,0,0,223,431,143,346,287,0,0,11,0,0,84,0,0,0,52,0,0,0,36,68,23,46,38,0,0,,1949
currafr01,66,0,395,0,0,0,71,0,0,0,113,235,98,241,199,0,0,2,0,0,5,0,0,0,0,0,0,0,0,7,2,1,1,0,0,,1949
joneswa01,60,0,751,0,0,0,194,0,0,0,241,706,264,297,223,0,0,5,0,0,73,0,0,0,22,0,0,0,26,73,22,34,29,0,0,,1949
jorgeno01,54,0,704,0,0,0,90,0,0,0,201,618,218,350,268,0,0,3,0,0,52,0,0,0,8,0,0,0,15,44,17,30,18,0,0,,1949
mogusle01,64,0,562,0,0,0,99,0,0,0,169,434,172,300,218,0,0,2,0,0,10,0,0,0,7,0,0,0,10,18,3,7,4,0,0,,1949
